Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,chosen face,not chosen face,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price1a,price2a,price3a,price4a,price5a,price6a,price7a,price8a,price9a,price10a,price11a,price12a,,Participant_preference,face_rating,random number,fixation_times
21,1575989585986,10/12/2019 14:53:05,1575989585295,0,10/12/2019 14:53:05,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,7,2,15,grey3,Zone1,continue_button,204.79999999999927,,,0,1,0,,,,,1,sequence,,,<h1>864</h1>,<h1>917.99</h1>,<h1>1187.99</h1>,<h1>745.75</h1>,<h1>504</h1>,<h1>1250</h1>,<h1>869.99</h1>,<h1>941.99</h1>,<h1>590.99</h1>,<h1>432</h1>,<h1>600</h1>,<h1>1008</h1>,864,917.99,1187.99,745.75,504,1250,869.99,941.99,590.99,432,600,1008,,,,,
22,1575989586096,10/12/2019 14:53:06,1575989585386,0,10/12/2019 14:53:05,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,7,2,16,grey4,Zone1,continue_button,75.79999999999927,,,0,1,0,,,,,1,sequence,,,<h1>864</h1>,<h1>917.99</h1>,<h1>1187.99</h1>,<h1>745.75</h1>,<h1>504</h1>,<h1>1250</h1>,<h1>869.99</h1>,<h1>941.99</h1>,<h1>590.99</h1>,<h1>432</h1>,<h1>600</h1>,<h1>1008</h1>,864,917.99,1187.99,745.75,504,1250,869.99,941.99,590.99,432,600,1008,,,,,
23,1575989586346,10/12/2019 14:53:06,1575989585659,0,10/12/2019 14:53:05,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,7,2,17,grey5,Zone1,continue_button,256.8000000000029,,,0,1,0,,,,,1,sequence,,,<h1>864</h1>,<h1>917.99</h1>,<h1>1187.99</h1>,<h1>745.75</h1>,<h1>504</h1>,<h1>1250</h1>,<h1>869.99</h1>,<h1>941.99</h1>,<h1>590.99</h1>,<h1>432</h1>,<h1>600</h1>,<h1>1008</h1>,864,917.99,1187.99,745.75,504,1250,869.99,941.99,590.99,432,600,1008,,,,,
24,1575989586455,10/12/2019 14:53:06,1575989585760,0,10/12/2019 14:53:05,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,7,2,18,grey6,Zone1,continue_button,86.79999999999927,,,0,1,0,,,,,1,sequence,,,<h1>864</h1>,<h1>917.99</h1>,<h1>1187.99</h1>,<h1>745.75</h1>,<h1>504</h1>,<h1>1250</h1>,<h1>869.99</h1>,<h1>941.99</h1>,<h1>590.99</h1>,<h1>432</h1>,<h1>600</h1>,<h1>1008</h1>,864,917.99,1187.99,745.75,504,1250,869.99,941.99,590.99,432,600,1008,,,,,
25,1575989586674,10/12/2019 14:53:06,1575989585982,0,10/12/2019 14:53:05,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,7,2,19,grey7,Zone1,continue_button,204.70000000000073,,,0,1,0,,,,,1,sequence,,,<h1>864</h1>,<h1>917.99</h1>,<h1>1187.99</h1>,<h1>745.75</h1>,<h1>504</h1>,<h1>1250</h1>,<h1>869.99</h1>,<h1>941.99</h1>,<h1>590.99</h1>,<h1>432</h1>,<h1>600</h1>,<h1>1008</h1>,864,917.99,1187.99,745.75,504,1250,869.99,941.99,590.99,432,600,1008,,,,,
26,1575989586768,10/12/2019 14:53:06,1575989586073,0,10/12/2019 14:53:06,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,7,2,20,grey8,Zone1,continue_button,76.29999999999927,,,0,1,0,,,,,1,sequence,,,<h1>864</h1>,<h1>917.99</h1>,<h1>1187.99</h1>,<h1>745.75</h1>,<h1>504</h1>,<h1>1250</h1>,<h1>869.99</h1>,<h1>941.99</h1>,<h1>590.99</h1>,<h1>432</h1>,<h1>600</h1>,<h1>1008</h1>,864,917.99,1187.99,745.75,504,1250,869.99,941.99,590.99,432,600,1008,,,,,
27,1575989586939,10/12/2019 14:53:06,1575989586256,0,10/12/2019 14:53:06,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,7,2,21,grey9,Zone1,continue_button,168.10000000000218,,,0,1,0,,,,,1,sequence,,,<h1>864</h1>,<h1>917.99</h1>,<h1>1187.99</h1>,<h1>745.75</h1>,<h1>504</h1>,<h1>1250</h1>,<h1>869.99</h1>,<h1>941.99</h1>,<h1>590.99</h1>,<h1>432</h1>,<h1>600</h1>,<h1>1008</h1>,864,917.99,1187.99,745.75,504,1250,869.99,941.99,590.99,432,600,1008,,,,,
28,1575989587126,10/12/2019 14:53:07,1575989586447,0,10/12/2019 14:53:06,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,7,2,22,grey10,Zone1,continue_button,170.60000000000218,,,0,1,0,,,,,1,sequence,,,<h1>864</h1>,<h1>917.99</h1>,<h1>1187.99</h1>,<h1>745.75</h1>,<h1>504</h1>,<h1>1250</h1>,<h1>869.99</h1>,<h1>941.99</h1>,<h1>590.99</h1>,<h1>432</h1>,<h1>600</h1>,<h1>1008</h1>,864,917.99,1187.99,745.75,504,1250,869.99,941.99,590.99,432,600,1008,,,,,
29,1575989587376,10/12/2019 14:53:07,1575989586690,0,10/12/2019 14:53:06,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,7,2,23,grey11,Zone1,continue_button,218.10000000000218,,,0,1,0,,,,,1,sequence,,,<h1>864</h1>,<h1>917.99</h1>,<h1>1187.99</h1>,<h1>745.75</h1>,<h1>504</h1>,<h1>1250</h1>,<h1>869.99</h1>,<h1>941.99</h1>,<h1>590.99</h1>,<h1>432</h1>,<h1>600</h1>,<h1>1008</h1>,864,917.99,1187.99,745.75,504,1250,869.99,941.99,590.99,432,600,1008,,,,,
30,1575989591142,10/12/2019 14:53:11,1575989590453,0,10/12/2019 14:53:10,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,7,2,24,congratulations,rating19,response_slider_firstInteraction,3745.5458999999973,27,,0,1,0,,,,,1,sequence,,,<h1>864</h1>,<h1>917.99</h1>,<h1>1187.99</h1>,<h1>745.75</h1>,<h1>504</h1>,<h1>1250</h1>,<h1>869.99</h1>,<h1>941.99</h1>,<h1>590.99</h1>,<h1>432</h1>,<h1>600</h1>,<h1>1008</h1>,864,917.99,1187.99,745.75,504,1250,869.99,941.99,590.99,432,600,1008,,,,,
