Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,,5_star,3_star,1_star
65,1570441366066,07/10/2019 09:42:46,1570441365837,1,07/10/2019 10:42:45,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,8,4,8,D4,lose,response_button_text,567,See next option,1,0,1,0,,,,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>723</strong>,,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,lose,<strong>745.75</strong>,<strong>825.99</strong>,,Option2,Option9,Option10
66,1570441370128,07/10/2019 09:42:50,1570441369845,1,07/10/2019 10:42:49,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,8,4,9,C5,Zone3,timelimit_screen,4000.1003904999816,,,0,1,0,,,1,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>723</strong>,,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,lose,<strong>745.75</strong>,<strong>825.99</strong>,,Option2,Option9,Option10
67,1570441370754,07/10/2019 09:42:50,1570441370508,1,07/10/2019 10:42:50,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,8,4,10,D5,lose,response_button_text,581,See next option,1,0,1,0,,,,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>723</strong>,,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,lose,<strong>745.75</strong>,<strong>825.99</strong>,,Option2,Option9,Option10
68,1570441374785,07/10/2019 09:42:54,1570441374515,1,07/10/2019 10:42:54,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,8,4,11,C6,Zone3,timelimit_screen,3999.9930982999795,,,0,1,0,,,1,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>723</strong>,,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,lose,<strong>745.75</strong>,<strong>825.99</strong>,,Option2,Option9,Option10
69,1570441375427,07/10/2019 09:42:55,1570441375181,1,07/10/2019 10:42:55,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,8,4,12,D6,lose,response_button_text,581,See next option,1,0,1,0,,,,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>723</strong>,,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,lose,<strong>745.75</strong>,<strong>825.99</strong>,,Option2,Option9,Option10
70,1570441379436,07/10/2019 09:42:59,1570441379192,1,07/10/2019 10:42:59,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,8,4,13,C7,Zone3,timelimit_screen,3999.9626661000075,,,0,1,0,,,1,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>723</strong>,,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,lose,<strong>745.75</strong>,<strong>825.99</strong>,,Option2,Option9,Option10
71,1570441380123,07/10/2019 09:43:00,1570441379847,1,07/10/2019 10:42:59,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,8,4,14,D7,lose,response_button_text,633,See next option,1,0,1,0,,,,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>723</strong>,,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,lose,<strong>745.75</strong>,<strong>825.99</strong>,,Option2,Option9,Option10
72,1570441384123,07/10/2019 09:43:04,1570441383848,1,07/10/2019 10:43:03,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,8,4,15,C8,Zone3,timelimit_screen,3999.972830499988,,,0,1,0,,,1,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>723</strong>,,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,lose,<strong>745.75</strong>,<strong>825.99</strong>,,Option2,Option9,Option10
73,1570441384749,07/10/2019 09:43:04,1570441384518,1,07/10/2019 10:43:04,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,8,4,16,D8,lose,response_button_text,610,See next option,1,0,1,0,,,,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>723</strong>,,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,lose,<strong>745.75</strong>,<strong>825.99</strong>,,Option2,Option9,Option10
74,1570441388801,07/10/2019 09:43:08,1570441388510,1,07/10/2019 10:43:08,9869,6,task-3elb,,3154847,5788bc4082f7f90001ee7a6c,871797,,complete,,5d9b076f7f79070015f9315e,computer,Desktop or Laptop,Windows 10,Firefox 68.0,1280x720,1280x594,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,8,4,17,C9,Zone3,timelimit_screen,3999.970937300037,,,0,1,0,,,1,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>723</strong>,,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,lose,<strong>745.75</strong>,<strong>825.99</strong>,,Option2,Option9,Option10
