Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vvbk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
15,1614083567802,23/02/2021 12:32:47,1614083567662,0,23/02/2021 12:32:47,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,3,2,1,instructions,advancementZone,timelimit_screen,6001.919000000002,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1614083571810,23/02/2021 12:32:51,1614083571665,0,23/02/2021 12:32:51,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,6,2,1,C1,Zone3,timelimit_screen,4000.9949999999953,,,,,0,1,0,,,1,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>667</strong>,<strong>801.99</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>1061.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>865.99</strong>,Option3,Option11,Option6
17,1614083574452,23/02/2021 12:32:54,1614083574309,0,23/02/2021 12:32:54,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,6,2,2,D1,Zone3,response_button_text,2626.7600000137463,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>667</strong>,<strong>801.99</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>1061.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>865.99</strong>,Option3,Option11,Option6
18,1614083578435,23/02/2021 12:32:58,1614083578299,0,23/02/2021 12:32:58,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,6,2,3,C2,Zone3,timelimit_screen,4001.2660000000033,,,,,0,1,0,,,1,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>667</strong>,<strong>801.99</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>1061.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>865.99</strong>,Option3,Option11,Option6
19,1614083578859,23/02/2021 12:32:58,1614083578718,0,23/02/2021 12:32:58,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,6,2,4,D2,lose,response_button_text,400.2300000283867,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>667</strong>,<strong>801.99</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>1061.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>865.99</strong>,Option3,Option11,Option6
20,1614083582851,23/02/2021 12:33:02,1614083582716,0,23/02/2021 12:33:02,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,6,2,5,C3,Zone3,timelimit_screen,4000.970000000001,,,,,0,1,0,,,1,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>667</strong>,<strong>801.99</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>1061.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>865.99</strong>,Option3,Option11,Option6
21,1614083583530,23/02/2021 12:33:03,1614083583386,0,23/02/2021 12:33:03,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,6,2,6,D3,BEST,response_button_text,651.4200000092387,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>667</strong>,<strong>801.99</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>1061.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>865.99</strong>,Option3,Option11,Option6
22,1614083586525,23/02/2021 12:33:06,1614083586383,0,23/02/2021 12:33:06,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,6,2,26,5star,advancementZone,timelimit_screen,3000.6759999999995,,,,,0,1,0,,,1,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>667</strong>,<strong>801.99</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>1061.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>865.99</strong>,Option3,Option11,Option6
23,1614083586577,23/02/2021 12:33:06,1614083586400,0,23/02/2021 12:33:06,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,6,2,29,next,content,timelimit_screen,16.32499999999709,,,,,0,1,0,,,1,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>667</strong>,<strong>801.99</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>1061.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>865.99</strong>,Option3,Option11,Option6
24,1614083592787,23/02/2021 12:33:12,1614083592402,0,23/02/2021 12:33:12,27662,6,task-s61l,,10288303,5f0c534291111659bbd90545,3130289,,complete,,6034f1c6b00dfedf69e18118,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x858,,Hybrid 2 bruno sequence,5,4,4,4,5,3,1,instructions,advancementZone,timelimit_screen,6001.8840000000055,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
