Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vvbk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
85,1614083187007,23/02/2021 12:26:27,1614083186910,0,23/02/2021 12:26:26,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,2,6,6,D3,lose,response_button_text,377,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
86,1614083191008,23/02/2021 12:26:31,1614083190900,0,23/02/2021 12:26:30,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,2,6,7,C4,Zone3,timelimit_screen,4002,,,,,0,1,0,,,1,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
87,1614083191712,23/02/2021 12:26:31,1614083191598,0,23/02/2021 12:26:31,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,2,6,8,D4,BEST,response_button_text,678.0000000000291,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
88,1614083194683,23/02/2021 12:26:34,1614083194584,0,23/02/2021 12:26:34,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,2,6,27,3star,advancementZone,timelimit_screen,3001,,,,,0,1,0,,,1,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
89,1614083194777,23/02/2021 12:26:34,1614083194601,0,23/02/2021 12:26:34,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,2,6,29,next,content,timelimit_screen,17,,,,,0,1,0,,,1,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
90,1614083200697,23/02/2021 12:26:40,1614083200599,0,23/02/2021 12:26:40,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,13,7,1,instructions,advancementZone,timelimit_screen,5997,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1614083204711,23/02/2021 12:26:44,1614083204599,0,23/02/2021 12:26:44,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,6,7,1,C1,Zone3,timelimit_screen,4001,,,,,0,1,0,,,1,,1,sequence,,,<strong>843</strong>,<strong>1065.99</strong>,<strong>359.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1008</strong>,<strong>871.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,lose,3star,<strong>869.99</strong>,<strong>431.76</strong>,Option3,Option12,Option6
92,1614083205241,23/02/2021 12:26:45,1614083205129,0,23/02/2021 12:26:45,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,6,7,2,D1,Zone3,response_button_text,514,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>843</strong>,<strong>1065.99</strong>,<strong>359.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1008</strong>,<strong>871.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,lose,3star,<strong>869.99</strong>,<strong>431.76</strong>,Option3,Option12,Option6
93,1614083209226,23/02/2021 12:26:49,1614083209121,0,23/02/2021 12:26:49,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,6,7,3,C2,Zone3,timelimit_screen,4005,,,,,0,1,0,,,1,,1,sequence,,,<strong>843</strong>,<strong>1065.99</strong>,<strong>359.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1008</strong>,<strong>871.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,lose,3star,<strong>869.99</strong>,<strong>431.76</strong>,Option3,Option12,Option6
94,1614083209756,23/02/2021 12:26:49,1614083209654,0,23/02/2021 12:26:49,27662,6,task-qqd9,,10288037,5e682f7b30914f0ed798df97,3130206,,complete,,6034f063b9a6f9c9b44dcc26,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1280x649,,Hybrid 2 bruno sequence,5,9,9,9,6,7,4,D2,lose,response_button_text,517,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>843</strong>,<strong>1065.99</strong>,<strong>359.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1008</strong>,<strong>871.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,lose,3star,<strong>869.99</strong>,<strong>431.76</strong>,Option3,Option12,Option6
